TimeStamp,Posture,RakatCount,
22:43:01,Long Standing,4,,
22:43:21,Bowing,4,,
22:43:25,Short Standing,4,,
22:43:28,1st Prostration,4,,
22:43:31,Short Sitting,4,,
22:43:33,2nd Prostration,4,,
22:43:38,Long Standing,4,,
22:43:52,Bowing,4,,
22:43:56,Short Standing,4,,
22:43:59,1st Prostration,4,,
22:44:03,Short Sitting,4,,
22:44:05,2nd Prostration,4,,
22:44:09,Long Sitting,4,,
22:44:21,Long Standing,4,,
22:44:30,Bowing,4,,
22:44:33,Short Standing,4,,
22:44:36,1st Prostration,4,,
22:44:39,Short Sitting,4,,
22:44:41,2nd Prostration,4,,
22:44:46,Long Standing,4,,
22:44:55,Bowing,4,,
22:44:58,Short Standing,4,,
22:45:01,1st Prostration,4,,
22:45:04,Short Sitting,4,,
22:45:06,2nd Prostration,4,,
22:45:10,Long Sitting,4,,
22:45:34,End Namaz,4,,
