angleX,angleY,angleZ,Time
2.6192627,-6.9288177,5.55455,23:01:19
2.6479797,-7.29274,6.1100006,23:01:19
3.3662415,-7.3980865,6.861786,23:01:19
3.447647,-7.244858,9.672577,23:01:20
6.06691,1.2402039,7.091629,23:01:20
3.4332886,4.8602295,4.050995,23:01:20
-2.9065552,8.264786,3.2992096,23:01:20
-2.5234833,8.930374,2.9352875,23:01:21
-3.1842957,8.279144,2.8203735,23:01:21
-1.6807251,6.756439,2.4181366,23:01:21
8.997406,-4.687851,1.5274963,23:01:22
7.3502045,-3.7732544,-1.1635895,23:01:22
8.710114,-3.9600067,-1.790863,23:01:22
8.978256,-4.03183,-1.9728241,23:01:23
8.604767,-4.3574524,-1.2114716,23:01:23
8.896851,-3.897766,-2.063797,23:01:23
8.494629,-3.8833923,-2.331955,23:01:23
8.652649,-4.003113,-2.0350647,23:01:24
8.451538,-4.1707,-2.2505493,23:01:24
8.465897,-4.2521057,-2.1787262,23:01:24
8.595184,-4.256897,-2.2553406,23:01:24
8.643066,-4.2473145,-2.3032227,23:01:25
8.53772,-4.1611176,-2.2840729,23:01:25
8.528152,-4.146759,-2.4133606,23:01:25
8.513779,-4.1802826,-2.3032227,23:01:25
8.547302,-4.218582,-2.331955,23:01:26
8.53772,-4.232956,-2.2792816,23:01:26
8.595184,-4.232956,-2.3894196,23:01:26
8.489838,-4.2951965,-2.2984314,23:01:26
8.513779,-4.2904053,-2.3702545,23:01:27
8.566452,-4.2281647,-2.3223724,23:01:27
8.571243,-4.242523,-2.331955,23:01:27
8.513779,-4.2042236,-2.3511047,23:01:27
8.547302,-4.2760468,-2.3032227,23:01:28
8.489838,-4.323929,-2.3175812,23:01:28
8.5520935,-4.2042236,-2.3032227,23:01:28
8.508987,-4.2089996,-2.3032227,23:01:29
8.441956,-4.2951965,-2.3271637,23:01:29
8.647858,-4.2712555,-2.3367462,23:01:29
8.599976,-4.261673,-2.3463135,23:01:29
8.53772,-4.2473145,-2.3511047,23:01:30
8.547302,-4.2521057,-2.221817,23:01:30
8.566452,-4.2233734,-2.308014,23:01:30
8.494629,-4.213791,-2.2792816,23:01:30
8.643066,-4.2281647,-2.245758,23:01:31
8.580826,-4.2089996,-2.3415222,23:01:31
8.547302,-4.237732,-2.2361908,23:01:31
8.51857,-4.242523,-2.2984314,23:01:31
8.547302,-4.213791,-2.3175812,23:01:32
8.51857,-4.242523,-2.2361908,23:01:32
8.681381,-4.1515503,-2.1787262,23:01:32
8.384491,-4.395752,-1.5993195,23:01:32
8.628708,-4.2712555,-1.7333984,23:01:33
8.667007,-4.371811,-1.608902,23:01:33
8.523361,-4.3622284,-1.470047,23:01:33
8.959106,-4.0892944,-1.6232758,23:01:33
8.504211,-4.1754913,-1.9776154,23:01:34
8.508987,-4.4484253,-1.5083466,23:01:34
8.590393,-4.2712555,-1.5227051,23:01:34
8.734055,-4.32872,-1.5418701,23:01:34
8.757996,-4.0701447,-1.5418701,23:01:35
8.868118,-4.146759,-1.656784,23:01:35
8.504211,-4.3430786,-1.9440918,23:01:35
7.7572174,-5.7029877,-0.4405365,23:01:35
5.2241516,-7.3980865,-0.5985565,23:01:36
