angleX,angleY,angleZ,Time,
1.450882,-9.639053,1.6136932,22:50:48,
1.5658112,-9.605545,1.5658112,22:50:48,
1.5418701,-9.543289,1.3934326,22:50:48,
5.008667,-9.495407,6.9623413,22:50:49,
7.1490936,-4.0940857,7.800308,22:50:49,
-0.7805023,5.530609,3.7349548,22:50:49,
-3.916916,5.851425,1.742981,22:50:49,
-5.736511,7.632721,3.241745,22:50:50,
-3.4572296,7.9008636,0.746994,22:50:50,
6.4882812,-1.8435364,5.659897,22:50:50,
7.139511,-2.9400787,-2.1835175,22:50:51,
7.086838,-3.0262756,-3.1603394,22:50:51,
9.414001,-3.3901825,-4.3430786,22:50:51,
7.800308,-2.9352875,-3.8881836,22:50:51,
8.145081,-3.0933075,-4.1611176,22:50:52,
8.446747,-3.1363983,-4.036621,22:50:52,
8.192963,-3.1699219,-4.108444,22:50:52,
8.221695,-3.0885162,-3.897766,22:50:52,
8.32225,-2.9879608,-3.8259277,22:50:53,
7.5608826,-3.5482025,-4.1371765,22:50:53,
8.83461,-3.2752686,-3.9743805,22:50:53,
7.996628,-3.2225952,-4.027054,22:50:53,
8.36055,-3.1795044,-4.2281647,22:50:54,
8.231262,-3.308792,-4.2904053,22:50:54,
8.149857,-3.4332886,-4.5681305,22:50:54,
8.312668,-3.5242615,-4.419693,22:50:54,
7.426819,-2.9544525,-4.108444,22:50:55,
8.250412,-3.782837,-4.18985,22:50:55,
8.082825,-3.7349548,-4.1611176,22:50:55,
7.5752563,-3.3710327,-3.9791565,22:50:55,
8.48027,-3.5529938,-4.616028,22:50:56,
8.355759,-3.4763794,-4.3813934,22:50:56,
8.192963,-3.241745,-4.165909,22:50:56,
8.422806,-3.4524384,-4.3670197,22:50:56,
9.844955,-3.0741577,-4.601654,22:50:57,
7.431595,-2.0925293,-4.1850586,22:50:57,
8.523361,-2.8251648,-4.242523,22:50:57,
8.628708,-2.4181366,-4.03183,22:50:57,
8.51857,-2.7677002,-4.304779,22:50:58,
8.317459,-2.8921967,-4.3335114,22:50:58,
8.236053,-3.2130127,-4.66391,22:50:58,
8.188171,-2.9065552,-4.3430786,22:50:58,
8.566452,-1.8962097,-3.8355103,22:50:59,
8.255203,-3.2561188,-4.1994324,22:50:59,
8.216904,-2.896988,-4.098877,22:50:59,
8.097183,-3.0933075,-4.2042236,22:50:59,
8.231262,-3.1411896,-4.194641,22:51:00,
8.51857,-2.9831696,-4.3670197,22:51:00,
8.011002,-3.0693665,-4.376602,22:51:00,
8.628708,-3.1747131,-4.103668,22:51:00,
8.805878,-2.7772675,-4.3335114,22:51:01,
8.154648,-3.3375244,-4.1754913,22:51:01,
8.188171,-3.289627,-4.3574524,22:51:01,
7.977478,-2.968811,-4.146759,22:51:01,
8.20253,-3.2082367,-4.2712555,22:51:02,
8.3414,-3.2034454,-4.1563416,22:51:02,
8.169022,-3.1890717,-3.85466,22:51:02,
8.446747,-3.1603394,-4.1994324,22:51:02,
8.595184,-3.5194702,-4.242523,22:51:03,
7.9870605,-3.0980988,-3.9121246,22:51:03,
8.307877,-3.2082367,-4.050995,22:51:03,
8.02536,-3.193863,-3.5913086,22:51:03,
8.805878,-3.0980988,-3.782837,22:51:04,
8.710114,-3.2752686,-3.9456482,22:51:04,
8.628708,-3.308792,-3.988739,22:51:04,
8.274368,-3.016693,-3.7253723,22:51:04,
8.441956,-3.1699219,-3.8690338,22:51:05,
8.456314,-3.241745,-4.0414124,22:51:05,
8.461105,-3.1316223,-3.806778,22:51:05,
8.470688,-3.1986542,-4.01268,22:51:05,
8.173798,-3.126831,-3.849884,22:51:06,
8.3940735,-3.1076813,-3.916916,22:51:06,
