angleX,angleY,angleZ,Time,Label
1.7238312,-9.969452,5.3151245,22:43:01,Long Standing
7.048523,-8.844177,7.2352753,22:43:01,Long Standing
5.90889,1.3838501,7.862564,22:43:01,Long Standing
2.5809479,5.9232483,0.9289551,22:43:01,Long Standing
-7.546524,6.545746,4.1132355,22:43:02,Long Standing
-6.823471,5.817917,-1.3551178,22:43:02,Long Standing
2.0685883,2.4612427,-1.7765045,22:43:02,Long Standing
8.781937,-3.5290527,-2.810791,22:43:03,Long Standing
9.112335,-2.082962,-2.4229279,22:43:03,Long Standing
9.88327,-2.8012085,-4.1850586,22:43:03,Long Standing
8.911224,-2.1356354,-2.700653,22:43:04,Long Standing
9.34697,-2.7581177,-3.782837,22:43:04,Long Standing
8.781937,-2.5761566,-3.672699,22:43:05,Long Standing
8.681381,-2.5474243,-3.5434113,22:43:05,Long Standing
8.973465,-2.4803925,-3.6008759,22:43:05,Long Standing
9.059662,-2.1212616,-3.605667,22:43:05,Long Standing
7.6518707,-2.2984314,-2.9352875,22:43:06,Long Standing
8.954315,-2.8059998,-3.7732544,22:43:06,Long Standing
8.652649,-3.0406342,-3.9791565,22:43:06,Long Standing
8.954315,-2.427719,-3.5529938,22:43:06,Long Standing
8.312668,-2.3750458,-3.557785,22:43:07,Long Standing
8.523361,-2.494751,-3.7205963,22:43:07,Long Standing
8.652649,-2.6096802,-3.7445374,22:43:07,Long Standing
8.734055,-2.5426483,-3.691864,22:43:07,Long Standing
8.652649,-2.494751,-3.5721436,22:43:08,Long Standing
8.643066,-2.5665894,-3.6391907,22:43:08,Long Standing
8.777145,-2.6432037,-3.7541046,22:43:08,Long Standing
8.700531,-2.6096802,-3.7493134,22:43:08,Long Standing
8.652649,-2.5953217,-3.7780457,22:43:09,Long Standing
8.757996,-2.5282745,-3.6391907,22:43:09,Long Standing
8.753204,-2.5330658,-3.672699,22:43:09,Long Standing
8.757996,-2.5570068,-3.6104584,22:43:09,Long Standing
8.719681,-2.5426483,-3.5913086,22:43:10,Long Standing
8.748413,-2.4851837,-3.6296082,22:43:10,Long Standing
8.408432,-2.3702545,-3.3423004,22:43:10,Long Standing
8.882492,-2.6575623,-3.7780457,22:43:10,Long Standing
7.8960724,-2.3941956,-3.4524384,22:43:11,Long Standing
8.719681,-2.5905304,-3.7205963,22:43:11,Long Standing
