Label,Time
1st Prostration,4
1st Prostration,4
1st Prostration,5
1st Prostration,4
1st Prostration,4
1st Prostration,5
1st Prostration,5
1st Prostration,5
1st Prostration,6
1st Prostration,4
1st Prostration,4
1st Prostration,5
1st Prostration,5
1st Prostration,5
1st Prostration,6
1st Prostration,4
1st Prostration,2
1st Prostration,3
1st Prostration,2
1st Prostration,2
1st Prostration,2
1st Prostration,3
1st Prostration,2
1st Prostration,2
1st Prostration,2
1st Prostration,2
1st Prostration,2
1st Prostration,3
1st Prostration,3
1st Prostration,3
1st Prostration,3
1st Prostration,4
1st Prostration,3
1st Prostration,3
2nd Prostration,4
2nd Prostration,4
2nd Prostration,4
2nd Prostration,4
2nd Prostration,4
2nd Prostration,4
2nd Prostration,5
2nd Prostration,4
2nd Prostration,5
2nd Prostration,4
2nd Prostration,3
2nd Prostration,4
2nd Prostration,5
2nd Prostration,4
2nd Prostration,3
2nd Prostration,5
2nd Prostration,4
2nd Prostration,3
2nd Prostration,4
2nd Prostration,3
2nd Prostration,4
2nd Prostration,3
2nd Prostration,4
2nd Prostration,4
2nd Prostration,4
2nd Prostration,3
2nd Prostration,3
2nd Prostration,5
2nd Prostration,2
2nd Prostration,2
2nd Prostration,4
2nd Prostration,3
2nd Prostration,4
2nd Prostration,3
Bowing,3
Bowing,4
Bowing,4
Bowing,4
Bowing,2
Bowing,4
Bowing,4
Bowing,4
Bowing,3
Bowing,3
Bowing,3
Bowing,3
Bowing,3
Bowing,3
Bowing,4
Bowing,3
Bowing,3
Bowing,3
Bowing,2
Bowing,2
Bowing,4
Bowing,2
Bowing,3
Bowing,3
Bowing,4
Bowing,3
Bowing,3
Bowing,3
Bowing,3
Bowing,4
Bowing,4
Bowing,2
Bowing,4
Bowing,3
Long Sitting,9
Long Sitting,17
Long Sitting,8
Long Sitting,14
Long Sitting,8
Long Sitting,17
Long Sitting,9
Long Sitting,16
Long Sitting,18
Long Sitting,11
Long Sitting,23
Long Sitting,9
Long Sitting,24
Long Sitting,13
Long Sitting,22
Long Sitting,11
Long Sitting,24
Long Sitting,23
Long Sitting,15
Long Standing,16
Long Standing,16
Long Standing,14
Long Standing,13
Long Standing,16
Long Standing,15
Long Standing,13
Long Standing,14
Long Standing,24
Long Standing,16
Long Standing,11
Long Standing,18
Long Standing,15
Long Standing,12
Long Standing,18
Long Standing,17
Long Standing,19
Long Standing,13
Long Standing,8
Long Standing,8
Long Standing,18
Long Standing,13
Long Standing,7
Long Standing,11
Long Standing,20
Long Standing,9
Long Standing,10
Long Standing,19
Long Standing,15
Long Standing,22
Long Standing,19
Long Standing,10
Long Standing,25
Long Standing,14
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,2
Short Sitting,2
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,2
Short Sitting,1
Short Sitting,1
Short Sitting,2
Short Sitting,2
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,2
Short Sitting,2
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,2
Short Sitting,2
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Sitting,1
Short Standing,2
Short Standing,2
Short Standing,2
Short Standing,1
Short Standing,3
Short Standing,3
Short Standing,2
Short Standing,3
Short Standing,4
Short Standing,2
Short Standing,2
Short Standing,2
Short Standing,2
Short Standing,2
Short Standing,2
Short Standing,3
Short Standing,2
Short Standing,2
Short Standing,2
Short Standing,2
Short Standing,1
Short Standing,3
Short Standing,2
Short Standing,3
Short Standing,2
Short Standing,1
Short Standing,2
Short Standing,3
Short Standing,3
Short Standing,2
Short Standing,2
Short Standing,2
Short Standing,3
Short Standing,3
