angleX,angleY,angleZ,Time,Label
3.2130127,-6.775589,6.1339417,22:53:10,Long Standing
3.3231506,-6.2201385,6.3159027,22:53:10,Long Standing
2.7916412,-6.6080017,4.48674,22:53:10,Long Standing
3.016693,-5.5401764,8.786728,22:53:11,Long Standing
4.2089996,-0.43095398,8.748413,22:53:11,Long Standing
-0.81881714,7.043747,2.652771,22:53:11,Long Standing
-1.9297333,8.269577,2.0302887,22:53:12,Long Standing
-3.1459808,8.681381,3.0071106,22:53:12,Long Standing
-3.9743805,7.953537,1.0773926,22:53:12,Long Standing
1.2402039,6.22493,5.3630066,22:53:12,Long Standing
5.5162354,0.8044586,7.254425,22:53:13,Long Standing
7.7667847,-3.6296082,6.890518,22:53:13,Long Standing
9.112335,-3.8881836,3.581726,22:53:13,Long Standing
8.365341,-1.7765045,2.3271637,22:53:13,Long Standing
8.149857,-4.8123474,-0.6320648,22:53:14,Long Standing
8.939957,-4.395752,-0.15322876,22:53:14,Long Standing
8.781937,-4.395752,-0.10055542,22:53:14,Long Standing
8.906433,-4.2904053,-0.3830719,22:53:14,Long Standing
9.126694,-4.3813934,-0.7805023,22:53:15,Long Standing
8.997406,-4.108444,-1.0151367,22:53:15,Long Standing
8.686157,-4.218582,-0.9864044,22:53:15,Long Standing
8.805878,-4.0222626,-0.90501404,22:53:15,Long Standing
8.920792,-3.9456482,-0.89064026,22:53:16,Long Standing
8.997406,-3.9264984,-1.2114716,22:53:16,Long Standing
8.901642,-4.0414124,-1.2689209,22:53:16,Long Standing
9.006989,-4.098877,-1.2449799,22:53:16,Long Standing
8.916,-3.9839478,-1.3694763,22:53:17,Long Standing
8.839386,-4.055771,-1.2689209,22:53:17,Long Standing
8.877701,-4.055771,-1.312027,22:53:17,Long Standing
8.868118,-4.003113,-1.3694763,22:53:17,Long Standing
8.757996,-3.9839478,-1.4891968,22:53:18,Long Standing
8.810669,-4.036621,-1.3886414,22:53:18,Long Standing
8.801086,-3.9983215,-1.470047,22:53:18,Long Standing
8.791504,-3.9600067,-1.3886414,22:53:18,Long Standing
8.8489685,-3.9791565,-1.3886414,22:53:19,Long Standing
8.877701,-4.03183,-1.359909,22:53:19,Long Standing
8.863342,-4.0414124,-1.3790588,22:53:19,Long Standing
8.815445,-4.0653534,-1.3886414,22:53:19,Long Standing
8.796295,-4.0653534,-1.4556732,22:53:20,Long Standing
8.877701,-4.079727,-1.4269409,22:53:20,Long Standing
8.757996,-4.007889,-1.5418701,22:53:20,Long Standing
8.791504,-4.103668,-1.4173737,22:53:20,Long Standing
8.839386,-4.0892944,-1.4077911,22:53:21,Long Standing
8.791504,-4.1371765,-1.4029999,22:53:21,Long Standing
8.8489685,-4.0222626,-1.4365234,22:53:21,Long Standing
8.805878,-4.074936,-1.470047,22:53:21,Long Standing
8.815445,-4.0462036,-1.474823,22:53:22,Long Standing
8.777145,-4.074936,-1.4652557,22:53:22,Long Standing
8.805878,-4.0653534,-1.5753784,22:53:22,Long Standing
8.777145,-4.0653534,-1.5131378,22:53:22,Long Standing
8.777145,-4.1371765,-1.5083466,22:53:23,Long Standing
8.753204,-4.1132355,-1.3886414,22:53:23,Long Standing
8.8489685,-4.103668,-1.3647003,22:53:23,Long Standing
8.810669,-4.103668,-1.4125824,22:53:23,Long Standing
8.705322,-4.0653534,-1.5514374,22:53:24,Long Standing
8.801086,-4.1371765,-1.4077911,22:53:24,Long Standing
8.825027,-4.1707,-1.4556732,22:53:24,Long Standing
8.815445,-4.0892944,-1.4891968,22:53:24,Long Standing
8.710114,-4.1371765,-1.5322876,22:53:25,Long Standing
8.757996,-4.1754913,-1.5131378,22:53:25,Long Standing
8.781937,-4.108444,-1.6041107,22:53:25,Long Standing
8.71489,-4.1515503,-1.5322876,22:53:25,Long Standing
8.753204,-4.1802826,-1.5274963,22:53:26,Long Standing
8.748413,-4.2281647,-1.5370789,22:53:26,Long Standing
8.753204,-4.1802826,-1.5274963,22:53:26,Long Standing
8.762772,-4.1994324,-1.5514374,22:53:26,Long Standing
8.671799,-4.285614,-1.5418701,22:53:27,Long Standing
8.743622,-4.1754913,-1.5945435,22:53:27,Long Standing
8.705322,-4.2089996,-1.632843,22:53:27,Long Standing
8.743622,-4.1707,-1.5801697,22:53:27,Long Standing
8.786728,-4.1611176,-1.5706024,22:53:28,Long Standing
8.69574,-4.1994324,-1.5849609,22:53:28,Long Standing
8.729263,-4.194641,-1.5418701,22:53:28,Long Standing
8.757996,-4.2281647,-1.4604645,22:53:28,Long Standing
