angleX,angleY,angleZ,Time,Label
1.9201508,-7.886505,7.5369415,22:44:06,Long Standing
3.4620209,-5.779602,9.045288,22:44:06,Long Standing
6.8761444,-2.197876,9.327805,22:44:06,Long Standing
3.691864,4.941635,3.265686,22:44:06,Long Standing
-0.01914978,7.7572174,3.1124573,22:44:07,Long Standing
-2.3654785,8.767563,3.2465363,22:44:07,Long Standing
-3.3901825,8.461105,2.676712,22:44:07,Long Standing
1.5849609,6.143524,4.18985,22:44:07,Long Standing
9.165009,-0.93852234,7.9487457,22:44:08,Long Standing
8.762772,-3.1699219,5.1523285,22:44:08,Long Standing
8.609543,-4.5489807,-0.31604004,22:44:08,Long Standing
9.126694,-4.5872955,-0.76135254,22:44:09,Long Standing
8.65744,-4.036621,-1.4365234,22:44:09,Long Standing
8.216904,-3.988739,-1.6903076,22:44:09,Long Standing
8.585602,-4.261673,-1.5083466,22:44:09,Long Standing
8.595184,-4.395752,-1.6807251,22:44:10,Long Standing
8.757996,-4.553772,-1.742981,22:44:10,Long Standing
8.504211,-4.4484253,-1.6950989,22:44:10,Long Standing
8.489838,-4.558563,-1.742981,22:44:10,Long Standing
9.236832,-4.3909607,-1.4317322,22:44:11,Long Standing
8.475479,-4.4963074,-1.8578949,22:44:11,Long Standing
8.585602,-4.620804,-1.6232758,22:44:11,Long Standing
8.451538,-4.6543274,-1.5849609,22:44:11,Long Standing
8.623917,-4.5872955,-1.6711578,22:44:12,Long Standing
8.456314,-4.6351776,-1.5993195,22:44:12,Long Standing
8.595184,-4.515457,-1.5849609,22:44:12,Long Standing
8.719681,-4.5202484,-1.6424255,22:44:12,Long Standing
8.542511,-4.4723663,-1.6280518,22:44:13,Long Standing
8.65744,-4.5202484,-1.7525482,22:44:13,Long Standing
8.614334,-4.462799,-1.766922,22:44:13,Long Standing
8.619125,-4.515457,-1.7286072,22:44:13,Long Standing
8.446747,-4.4963074,-1.7190399,22:44:14,Long Standing
8.628708,-4.534622,-1.632843,22:44:14,Long Standing
8.532928,-4.529831,-1.5801697,22:44:14,Long Standing
8.628708,-4.4963074,-1.7094574,22:44:14,Long Standing
8.446747,-4.4053345,-1.5274963,22:44:15,Long Standing
8.599976,-4.371811,-1.2545624,22:44:15,Long Standing
8.628708,-4.4771576,-1.1970978,22:44:15,Long Standing
8.777145,-4.2904053,-1.335968,22:44:15,Long Standing
8.71489,-4.32872,-1.2162476,22:44:16,Long Standing
8.839386,-4.1754913,-0.8427582,22:44:16,Long Standing
8.753204,-3.9552155,-0.28251648,22:44:16,Long Standing
8.844177,-4.03183,-0.48841858,22:44:16,Long Standing
9.040512,-3.940857,-0.38786316,22:44:17,Long Standing
8.820236,-3.9121246,-0.28730774,22:44:17,Long Standing
8.8489685,-3.9600067,-0.42138672,22:44:17,Long Standing
9.088394,-3.964798,-0.33518982,22:44:17,Long Standing
9.078812,-3.8642426,-0.5506592,22:44:18,Long Standing
8.978256,-3.8211517,-0.38786316,22:44:18,Long Standing
9.270355,-3.7110138,-0.5027771,22:44:18,Long Standing
8.820236,-3.9743805,-0.6655884,22:44:18,Long Standing
8.887283,-4.007889,-0.8427582,22:44:19,Long Standing
8.489838,-4.371811,-1.1348572,22:44:19,Long Standing
8.753204,-4.3622284,-1.1300659,22:44:19,Long Standing
8.700531,-4.458008,-1.2737122,22:44:19,Long Standing
8.65744,-4.5872955,-1.3455353,22:44:20,Long Standing
8.6909485,-4.376602,-1.4125824,22:44:20,Long Standing
8.595184,-4.3574524,-1.4125824,22:44:20,Long Standing
8.671799,-4.2951965,-1.3215942,22:44:20,Long Standing
8.734055,-4.3813934,-1.2785034,22:44:21,Long Standing
8.65744,-4.400543,-1.2449799,22:44:21,Long Standing
8.67659,-4.438843,-1.2210388,22:44:21,Long Standing
8.748413,-4.352661,-1.0582428,22:44:21,Long Standing
8.753204,-4.5250397,-0.7517853,22:44:22,Long Standing
7.60878,-4.855438,-0.42138672,22:44:22,Long Standing
7.503433,-6.6941833,-0.6799469,22:44:22,Long Standing
5.166687,-8.092407,-0.6943207,22:44:22,Long Standing
